College Name,Branch Name,Branch code,OC,BC,BCM,MBC_DNC,SC,SCA,ST
Anna University CEG Campus,Computer Science and Engineering,CS,165.66,164.26,154.83,152.02,142.98,143.21,134.56
Anna University CEG Campus,Information Technology,IT,168.15,162.6,164.66,151.73,150.2,143.24,137.4
Anna University CEG Campus,Electronics and Communication Engineering,ECE,167.15,164.76,152.8,153.36,145.27,139.0,133.27
Anna University CEG Campus,Electrical and Electronics Engineering,EEE,172.99,170.03,167.33,159.28,157.17,149.51,146.27
Anna University CEG Campus,Mechanical Engineering,MECH,165.94,161.24,156.73,154.57,151.35,142.86,137.11
Anna University MIT Campus,Computer Science and Engineering,CS,181.23,177.28,170.03,168.22,159.14,157.21,154.53
Anna University MIT Campus,Information Technology,IT,181.2,179.85,174.78,167.29,163.57,159.27,150.37
Anna University MIT Campus,Electronics and Communication Engineering,ECE,170.42,166.43,162.67,156.65,156.44,145.03,139.58
Anna University MIT Campus,Electrical and Electronics Engineering,EEE,174.73,167.92,167.86,162.09,154.5,150.05,144.34
Anna University MIT Campus,Mechanical Engineering,MECH,172.18,170.97,161.85,163.0,155.7,152.31,141.49
Anna University ACT Campus,Computer Science and Engineering,CS,195.65,190.34,187.82,185.9,175.81,172.78,171.21
Anna University ACT Campus,Information Technology,IT,195.02,193.14,182.07,177.59,172.86,166.57,163.53
Anna University ACT Campus,Electronics and Communication Engineering,ECE,173.75,170.89,166.7,159.96,157.4,150.97,146.98
Anna University ACT Campus,Electrical and Electronics Engineering,EEE,153.62,141.26,145.91,138.33,132.11,131.8,119.64
Anna University ACT Campus,Mechanical Engineering,MECH,184.06,180.45,176.36,169.97,165.67,157.51,161.75
Government College of Engineering - Coimbatore,Computer Science and Engineering,CS,162.76,157.49,150.96,148.99,141.8,132.43,128.48
Government College of Engineering - Coimbatore,Information Technology,IT,193.79,188.38,184.82,175.96,171.45,167.58,165.6
Government College of Engineering - Coimbatore,Electronics and Communication Engineering,ECE,159.62,149.68,146.51,140.84,135.47,128.02,124.74
Government College of Engineering - Coimbatore,Electrical and Electronics Engineering,EEE,175.78,168.91,164.32,162.09,155.01,150.62,146.07
Government College of Engineering - Coimbatore,Mechanical Engineering,MECH,148.11,145.11,139.75,136.19,129.23,126.97,118.54
Government College of Engineering - Salem,Computer Science and Engineering,CS,172.39,166.97,162.9,157.55,151.86,150.42,141.38
Government College of Engineering - Salem,Information Technology,IT,179.07,171.32,165.67,159.32,155.95,152.0,145.72
Government College of Engineering - Salem,Electronics and Communication Engineering,ECE,169.41,166.6,162.81,156.26,153.72,149.05,141.32
Government College of Engineering - Salem,Electrical and Electronics Engineering,EEE,200.0,200.0,190.69,187.21,183.74,179.53,171.42
Government College of Engineering - Salem,Mechanical Engineering,MECH,155.97,149.75,142.16,135.15,128.43,126.88,119.22
