College Name,Branch Name,Branch code,OC,BC,BCM,MBC_DNC,SC,SCA,ST
Anna University CEG Campus,Computer Science and Engineering,CS,153.6,148.17,145.9,138.57,135.61,130.89,129.5
Anna University CEG Campus,Information Technology,IT,180.6,174.57,173.96,163.66,160.45,154.06,152.2
Anna University CEG Campus,Electronics and Communication Engineering,ECE,171.99,172.85,162.6,157.93,153.21,147.66,143.97
Anna University CEG Campus,Electrical and Electronics Engineering,EEE,161.08,153.29,153.09,147.31,141.47,134.76,132.24
Anna University CEG Campus,Mechanical Engineering,MECH,177.0,167.89,165.81,158.05,152.93,146.19,145.65
Anna University MIT Campus,Computer Science and Engineering,CS,186.85,183.65,178.41,175.02,165.71,160.56,160.17
Anna University MIT Campus,Information Technology,IT,182.39,174.31,172.32,166.9,161.14,156.79,146.64
Anna University MIT Campus,Electronics and Communication Engineering,ECE,160.35,156.17,150.31,143.25,139.92,131.38,123.3
Anna University MIT Campus,Electrical and Electronics Engineering,EEE,165.33,158.93,152.63,148.43,144.3,139.09,134.24
Anna University MIT Campus,Mechanical Engineering,MECH,166.93,161.09,159.37,151.8,149.55,143.26,141.33
Anna University ACT Campus,Computer Science and Engineering,CS,172.71,169.98,166.33,157.28,153.04,144.64,140.82
Anna University ACT Campus,Information Technology,IT,162.85,157.29,155.05,149.31,142.91,138.0,133.21
Anna University ACT Campus,Electronics and Communication Engineering,ECE,179.0,176.94,174.32,167.06,161.57,152.55,153.08
Anna University ACT Campus,Electrical and Electronics Engineering,EEE,174.8,173.05,165.76,162.23,157.56,149.29,147.25
Anna University ACT Campus,Mechanical Engineering,MECH,168.47,166.51,159.7,160.79,150.51,147.26,143.66
Government College of Engineering - Coimbatore,Computer Science and Engineering,CS,196.47,188.11,186.03,177.98,175.2,170.49,162.26
Government College of Engineering - Coimbatore,Information Technology,IT,174.55,170.88,163.18,160.48,153.74,150.33,147.85
Government College of Engineering - Coimbatore,Electronics and Communication Engineering,ECE,180.89,176.84,170.38,166.52,160.99,156.16,149.64
Government College of Engineering - Coimbatore,Electrical and Electronics Engineering,EEE,174.66,170.55,161.21,156.13,155.39,149.81,144.22
Government College of Engineering - Coimbatore,Mechanical Engineering,MECH,170.66,169.38,163.54,156.79,151.07,147.26,144.48
Government College of Engineering - Salem,Computer Science and Engineering,CS,176.82,171.89,167.36,160.31,159.06,152.44,147.0
Government College of Engineering - Salem,Information Technology,IT,179.1,170.78,169.47,162.6,159.68,151.17,150.07
Government College of Engineering - Salem,Electronics and Communication Engineering,ECE,195.29,187.86,184.0,177.97,174.38,170.78,161.85
Government College of Engineering - Salem,Electrical and Electronics Engineering,EEE,181.59,181.01,173.11,167.99,162.81,159.5,158.02
Government College of Engineering - Salem,Mechanical Engineering,MECH,179.91,177.25,174.0,167.66,162.14,154.09,153.46
